"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",3279.76399225,102819,287082,3601,3490,62,1,4581,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",2444.27382779,98250,219190,2820,2704,50,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",1389.21649055,17174,42539,291,232,90,5,162727,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",1154.41370335,14798,40472,235,182,96,9,220845,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",808.50365904,6873,17976,215,185,181,10,247984,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Gems of The Day | 21- 30 Jun 26",804.8043527,9456,21817,100,68,46,10,516668,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",729.75082113,30945,67391,896,855,15,9,101181,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",711.38844446,8715,18520,170,129,35,7,182830,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Gems of The Day | 21- 30 Jun 26",700.7298975,8929,17002,93,72,27,2,6258,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",635.59432197,6688,17321,223,187,223,14,256883,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",602.15994985,24825,55041,719,689,29,1,68702,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",577.58199271,21690,49449,704,694,24,2,37906,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",574.47745564,9244,13371,270,234,107,6,210333,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",557.19661415,8006,19071,123,91,31,3,103664,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"Gems of The Day | 21- 30 Jun 26",536.76093062,7763,15875,92,62,34,2,20960,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Gems of The Day | 21- 30 Jun 26",516.72749279,7406,16737,77,58,30,2,32066,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",490.00403508,6972,14323,94,68,22,3,42763,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",446.1611482,6624,7112,41,25,13,3,88721,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",425.46288923,7528,14279,90,69,20,3,48078,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"Gems of The Day | 21- 30 Jun 26",415.45505074,4804,8419,56,57,7,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",413.79491191,7466,16933,80,58,25,2,86287,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Gems of The Day | 21- 30 Jun 26",355.77365027,5973,9878,49,46,18,2,67976,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",348.412366,7511,13793,85,62,37,5,142488,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",346.17985459,6914,7546,45,17,11,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",326.22387241,4554,10051,54,36,13,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",322.88943115,3867,6110,117,100,51,5,74371,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",321.37106288,24675,31154,396,380,2,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",313.26257965,5073,10107,71,58,24,5,96525,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",312.06318575,5809,9102,140,124,101,2,16873,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% June 2026",307.27613818,8676,19412,730,689,356,28,543901,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"ผ่อนทอง 0% June 2026",290.48849816,20888,26241,353,343,11,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,25-34,"Live | 10 June 2026",273.35701383,11629,12191,94,79,36,4,149038,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",260.06404341,1937,4900,85,59,67,1,34638,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"Gems of The Day | 21- 30 Jun 26",256.4620144,5074,9011,44,26,17,1,4500,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",244.94465136,3283,4836,120,103,41,4,118800,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,35-44,"Live | 10 June 2026",232.76448734,7534,7889,90,77,20,1,35646,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% June 2026",226.64927973,10788,17633,407,373,222,12,274147,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,25-34,"Live | 10 June 2026",222.77386552,10194,10622,71,63,6,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Gems of The Day | 21- 30 Jun 26",221.50781567,2729,5746,36,23,2,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",female,35-44,"Mid Month  | 15-17June 2026",213.38,5989,8287,85,76,3,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"Gems of The Day | 21- 30 Jun 26",210.21113809,2880,5008,24,19,6,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",206.04139919,3630,6167,66,44,5,1,4486,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",200.47082539,2013,5205,60,45,44,7,245266,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,45-54,"Live | 10 June 2026",196.57223472,5827,6099,61,51,3,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",193.30564619,2929,4560,73,61,46,4,18551,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"Gems of The Day | 21- 30 Jun 26",187.32562511,3467,6575,33,22,3,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,55-64,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",184.3321881,2358,4065,49,31,11,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,35-44,"Live | 10 June 2026",181.83131724,6210,6524,54,44,6,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% June 2026",179.08523373,15179,18387,266,244,37,2,147543,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,25-34,"Gems of The Day | 21- 30 Jun 26",177.19502636,3783,7060,22,12,4,1,1038,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",female,25-34,"Double Day 6.6 | 1-7June 2026",173.90642812,5838,6931,153,149,88,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% June 2026",169.18439153,4573,10708,362,325,140,12,432978,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",female,35-44,"Double Day 6.6 | 1-7June 2026",168.63623332,4426,5752,169,150,111,18,318029,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",female,25-34,"Double Day 6.6 | 1-7June 2026",166.63759053,4805,6638,146,127,121,5,762871,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",164.3513534,2058,3866,36,30,8,3,9804,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",157.84625472,2049,2232,15,10,3,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",152.41103499,3233,5708,39,27,2,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,female,25-34,"Test - Trust - ช่องทางชำระเงิน",150.19576325,5198,5945,40,36,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,18-24,"ผ่อนทอง 0% June 2026",145.23247184,7677,14029,206,188,3,,,2026-06-01,2026-06-26
