"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",6655.73537576,222341,493761,6224,5994,40,1,1221,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Card customize 15-29 May 2026-Conversion",5336.8722971,33392,153410,1228,1096,994,147,1352453.41,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Card customize 15-29 May 2026-Conversion",5026.91428596,27170,118457,992,869,807,119,1724476.37,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"Card customize 15-29 May 2026",4103.60561129,204593,350184,4058,3570,28,4,8600,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",3555.27877143,121733,265059,3472,3347,23,1,1100,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",3456.99046414,120929,255404,3215,3125,21,1,1220,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",3403.61171214,173238,275919,3446,3115,217,10,175059,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"Card customize 15-29 May 2026",2390.67501111,119406,206577,2474,2231,22,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"Card customize 15-29 May 2026",2114.4313651,105976,171600,2111,1913,92,13,159352,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,35-44,"Card customize 15-29 May 2026",1670.23123549,59311,126505,1655,1605,12,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",1604.93412521,16207,45406,828,681,296,16,462761,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Card customize 15-29 May 2026-Conversion",1547.97989209,7742,31623,350,310,231,36,432928,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",1314.79061073,16340,45051,636,550,311,5,105561,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,18-24,"Card customize 15-29 May 2026",1274.72067963,63463,103980,1344,1152,8,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,18-24,"Card customize 15-29 May 2026",1221.34896608,39768,88905,1187,1138,9,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"Card customize 15-29 May 2026-Conversion",1174.69615816,6660,31845,230,176,154,22,2184779.35,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"Card customize 15-29 May 2026",1139.13379832,55083,88668,1186,1086,44,12,196368,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"Card customize 15-29 May 2026",1114.48436529,50305,92222,1124,1048,7,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"Card customize 15-29 May 2026",1103.27462313,59608,89289,1097,941,6,3,35623,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"Card customize 15-29 May 2026",1013.21255058,37732,71257,967,940,6,,,2026-05-01,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"Card customize 15-29 May 2026-Conversion",1003.87072054,6793,32706,188,150,147,26,324735.02,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"Card customize 15-29 May 2026",916.65891555,40191,72760,934,887,9,6,38022,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"Card customize 15-29 May 2026",796.37168233,32560,64120,845,791,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,18-24,"Card customize 15-29 May 2026",711.74774237,24406,50346,679,648,,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,55-64,"Card customize 15-29 May 2026",592.68979277,18008,40593,555,550,1,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"Card customize 15-29 May 2026",583.65657508,21721,44834,609,567,2,,,2026-05-01,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"Card customize 15-29 May 2026",532.70774697,21076,41145,517,486,,,,2026-05-01,2026-05-31
